SL NO,Category,Level,Variation,Description,Target Muscles,,,,,,
2,SUPPORTED SQUATS,LEVEL 4,BAR SUPPORTED SQUATS,"Bar supported squats use a barbell or fixed bar for hand support, aiding balance and allowing progressive loading.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Upper Back",,,,,,
3,HEEL RAISED SQUATS,LEVEL 1,HEEL RAISED BAND ASSISTED,"Heel raised band assisted squats elevate the heels and use bands for assistance, targeting quads more intensely while improving ankle mobility.","Primary: Quadriceps; Secondary: Glutes, Hamstrings, Calves, Core","Use if athlete has limited dorsiflexion, needs quad emphasis, or struggles with trunk upright posture",,,,,
3,HEEL RAISED SQUATS,LEVEL 2,HEEL RAISED WALL SUPPORTED SQUATS,"Heel raised wall supported squats use the wall for back support with elevated heels, focusing on quad activation and form.","Primary: Quadriceps; Secondary: Glutes, Hamstrings, Calves, Core",,,,,,
3,HEEL RAISED SQUATS,LEVEL 3,HEEL RAISED BW SQUAT,"Heel raised bodyweight squats elevate the heels to emphasize quads without added weight, ideal for form practice.","Primary: Quadriceps; Secondary: Glutes, Hamstrings, Calves",,,,,,
3,HEEL RAISED SQUATS,LEVEL 4,HEEL RAISED GOBLET SQUAT,"Heel raised goblet squats hold a weight at chest level with elevated heels, increasing quad load and stability.","Primary: Quadriceps; Secondary: Glutes, Hamstrings, Calves, Core",,,,,,
3,HEEL RAISED SQUATS,LEVEL 5,CYCLIC SQUAT,"Cyclic squats involve continuous reps with a rhythmic pattern, building endurance; heel raised version targets quads.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
3,HEEL RAISED SQUATS,LEVEL 6,HEEL RAISED DB SQUAT,"Heel raised dumbbell squats hold dumbbells with elevated heels, adding resistance for quad strength.","Primary: Quadriceps; Secondary: Glutes, Hamstrings, Calves",,,,,,
4,BW SQUATS,LEVEL 1,B/L BW SQUATS / PRISONER SQUATS,"Bilateral bodyweight squats or prisoner squats place hands behind the head, emphasizing posture and core engagement.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core","Universal—great for all levels, early strengthening, home exercises, warm-up routines",,,,,
4,BW SQUATS,LEVEL 2,GORILLA SQUATS,"Gorilla squats mimic gorilla posture with wide stance and hands on ground, building mobility and strength.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Upper Body",,,,,,
4,BW SQUATS,LEVEL 3,HINDU SQUATS,"Hindu squats involve swinging arms and rising on toes at the top, adding cardio and calf work.","Primary: Quadriceps, Glutes, Hamstrings, Calves; Secondary: Core",,,,,,
4,BW SQUATS,LEVEL 4,OH WALL SQUATS,"Overhead wall squats hold arms overhead against the wall, improving posture and shoulder mobility.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Shoulders",,,,,,
4,BW SQUATS,LEVEL 5,STAGGERED STANCE BW SQUATS,"Staggered stance bodyweight squats have one foot forward, emphasizing unilateral strength.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
4,BW SQUATS,LEVEL 6,NARROW STANCE BW SQUATS,"Narrow stance bodyweight squats bring feet close, targeting outer quads more.","Primary: Quadriceps; Secondary: Glutes, Hamstrings, Calves",,,,,,
4,BW SQUATS,LEVEL 7,CANDLE STICK OH SQUATS,"Candlestick overhead squats involve rolling into squat from floor, building explosive power.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Shoulders",,,,,,
4,BW SQUATS,LEVEL 8,CYCLIC SQUATS,"Cyclic squats maintain continuous motion, enhancing endurance.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
4,BW SQUATS,LEVEL 9,SISSY SQUATS,"Sissy squats lean back on toes, isolating quads intensely.",Primary: Quadriceps; Secondary: Core,,,,,,
5,SUMO SQUATS,LEVEL 1,BW SUMO SQUATS,"Bodyweight sumo squats use wide stance with toes out, targeting inner thighs.","Primary: Quadriceps, Adductors, Glutes; Secondary: Hamstrings, Calves","Use for athletes needing adductor/glute emphasis, or to address hip/knee valgus weakness",,,,,
5,SUMO SQUATS,LEVEL 2,BANDED SUMO SQUATS,Banded sumo squats add band resistance for outer hip activation.,"Primary: Quadriceps, Adductors, Glutes, Abductors; Secondary: Hamstrings, Calves",,,,,,
5,SUMO SQUATS,LEVEL 3,KB HOLD SUMO SQUATS (HANG/ GOBLET),"Kettlebell hold sumo squats hang or goblet hold weight, adding load.","Primary: Quadriceps, Adductors, Glutes; Secondary: Hamstrings, Calves, Core",,,,,,
5,SUMO SQUATS,LEVEL 4,DB SUMO SQUATS (HANG/ GOBLET),"Dumbbell sumo squats similar to KB, with hang or goblet hold.","Primary: Quadriceps, Adductors, Glutes; Secondary: Hamstrings, Calves, Core",,,,,,
5,SUMO SQUATS,LEVEL 5,BB SUMO SQUATS (HANG/ RACKED),"Barbell sumo squats hang or rack the bar, increasing intensity.","Primary: Quadriceps, Adductors, Glutes; Secondary: Hamstrings, Calves, Core",,,,,,
5,SUMO SQUATS,LEVEL 6,PLATE HOLD SUMO SQUATS,"Plate hold sumo squats grip a plate at chest, similar to goblet.","Primary: Quadriceps, Adductors, Glutes; Secondary: Hamstrings, Calves, Core",,,,,,
5,SUMO SQUATS,LEVEL 7,ZERCHER HOLD SUMO SQUATS,"Zercher hold sumo squats cradle bar in elbows, engaging core.","Primary: Quadriceps, Adductors, Glutes, Core; Secondary: Hamstrings, Calves",,,,,,
5,SUMO SQUATS,LEVEL 8,JEFFERSON HOLD SUMO SQUATS,"Jefferson hold sumo squats straddle bar, unique grip for balance.","Primary: Quadriceps, Adductors, Glutes; Secondary: Hamstrings, Calves, Core",,,,,,
6,BOX SQUATS,LEVEL 1,BW B/L BOX SQUATS,Bodyweight bilateral box squats squat to a box for controlled depth.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core","Suggested for those unable to achieve low squat safely; useful to teach depth and control (post-injury return, elderly)",,,,,
6,BOX SQUATS,LEVEL 2,BW U/L BOX SQUATS,"Bodyweight unilateral box squats single-leg to box, building balance.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
6,BOX SQUATS,LEVEL 3,BW LOW BOX SQUATS (B/L & U/L),Bodyweight low box squats use lower box for deeper range.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
6,BOX SQUATS,LEVEL 4,KB GOBLET HOLD BOX SQUATS (B/L & U/L),Kettlebell goblet hold box squats add weight for strength.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
6,BOX SQUATS,LEVEL 5,DB BOX SQUATS (B/L & U/L),"Dumbbell box squats hold DBs, increasing load.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
6,BOX SQUATS,LEVEL 6,BB BOX SQUATS (FRONT & BACK RACK),Barbell box squats front or back rack for heavy loading.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Upper Back",,,,,,
6,BOX SQUATS,LEVEL 7,OH LOADED BOX SQUATS,"Overhead loaded box squats hold weight overhead, challenging stability.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Shoulders",,,,,,
7,GOBLET SQUATS,LEVEL 1,DB GOBLET SQUATS,"Dumbbell goblet squats hold DB at chest, emphasizing form.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core","Excellent as intermediate step before barbell squats, corrective for forward lean or torso collapse",,,,,
7,GOBLET SQUATS,LEVEL 2,KB TOP UP GOBLET SQUATS,"Kettlebell top up goblet squats hold KB upright, adding grip challenge.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Grip",,,,,,
7,GOBLET SQUATS,LEVEL 3,KB BOTTOM UP GOBLET SQUATS,Kettlebell bottom up goblet squats invert KB for instability.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Grip, Stabilizers",,,,,,
7,GOBLET SQUATS,LEVEL 4,KB SIDE GOBLET SQUATS,"Kettlebell side goblet squats hold KB to one side, anti-rotation.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Obliques",,,,,,
8,KB SQUATS,LEVEL 1,KB GOBLET SQUATS,Kettlebell goblet squats hold KB at chest.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core","Use with athletes ready for load progressions, or those working unilateral/core stability",,,,,
8,KB SQUATS,LEVEL 2,KB B/L RACKED SQUATS,Kettlebell bilateral racked squats hold KBs at shoulders.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Upper Back",,,,,,
8,KB SQUATS,LEVEL 3,KB U/L RACKED SQUATS,"Kettlebell unilateral racked squats hold one KB, anti-rotation.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Obliques",,,,,,
8,KB SQUATS,LEVEL 4,KB SUITCASE SQUATS,Kettlebell suitcase squats hold KB at side like suitcase.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Grip",,,,,,
8,KB SQUATS,LEVEL 5,KB B/L RACKED WITH THRUSTER SQUATS,Kettlebell bilateral racked with thruster squats add press at top.,"Primary: Quadriceps, Glutes, Hamstrings, Shoulders; Secondary: Calves, Core",,,,,,
8,KB SQUATS,LEVEL 6,KB CYCLIC SQUATS,Kettlebell cyclic squats maintain rhythm for endurance.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
9,DB SQUATS,LEVEL 1,DB GOBLET SQUATS,Dumbbell goblet squats hold DB at chest.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",Ideal when moving up from bodyweight but not ready for barbells; to vary grip and loading position,,,,,
9,DB SQUATS,LEVEL 2,DB HOLD SQUATS (SUITCASE/ FARMERS),Dumbbell hold squats suitcase or farmers carry style.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Grip",,,,,,
9,DB SQUATS,LEVEL 3,DB RACKED SQUATS (B/L & U/L),Dumbbell racked squats bilateral or unilateral at shoulders.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Upper Back",,,,,,
9,DB SQUATS,LEVEL 4,DB RACKED THRUSTER SQUATS (B/L & U/L),Dumbbell racked thruster squats add press.,"Primary: Quadriceps, Glutes, Hamstrings, Shoulders; Secondary: Calves, Core",,,,,,
9,DB SQUATS,LEVEL 5,DB OVERHEAD SQUATS (B/L & U/L),Dumbbell overhead squats hold DBs overhead.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Shoulders",,,,,,
9,DB SQUATS,LEVEL 6,DB CYCLIC SQUATS,Dumbbell cyclic squats for endurance.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
10,BB SQUATS,LEVEL 1,BB BOX SQUATS (B/L & U/L),Barbell box squats bilateral or unilateral to controlled depth.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core","For advanced practitioners needing high strength; sport/athlete-specific training, or when the athlete can already demonstrate good mechanics",,,,,
10,BB SQUATS,LEVEL 2,BB SUMO SQUATS,Barbell sumo squats wide stance.,"Primary: Quadriceps, Adductors, Glutes; Secondary: Hamstrings, Calves",,,,,,
10,BB SQUATS,LEVEL 3,BB BACK RACK SQUATS (SMITH,PIN TO FULL RANGE),Barbell back rack squats on Smith or pins.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Upper Back",,,,,
10,BB SQUATS,LEVEL 4,BB FRONT RACK SQUATS (SMITH,PIN TO FULL RANGE),Barbell front rack squats emphasize quads.,"Primary: Quadriceps, Glutes; Secondary: Hamstrings, Calves, Core",,,,,
10,BB SQUATS,LEVEL 5,BB HACK SQUATS,Barbell hack squats bar behind legs.,"Primary: Quadriceps; Secondary: Glutes, Hamstrings, Calves",,,,,,
10,BB SQUATS,LEVEL 6,BB OVERHEAD SQUATS,Barbell overhead squats challenge stability.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Shoulders",,,,,,
10,BB SQUATS,LEVEL 7,BB ZERCHER HOLD SQUATS,Barbell Zercher hold squats in elbows.,"Primary: Quadriceps, Glutes, Hamstrings, Core; Secondary: Calves, Upper Back",,,,,,
11,SPLIT SQUATS,LEVEL 1,TRX/ BAND ASSISTED SPLIT SQUATS,TRX or band assisted split squats provide support.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core","For correcting bilateral asymmetries, improving balance, and athletes needing running/jumping power",,,,,
11,SPLIT SQUATS,LEVEL 2,BW SPLIT SQUATS,Bodyweight split squats unilateral.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
11,SPLIT SQUATS,LEVEL 3,BAND RESISTED SPLIT SQUATS (LEADING LEG),Band resisted split squats add resistance to leading leg.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
11,SPLIT SQUATS,LEVEL 4,FOOT ELEVATED SPLIT SQUATS (FRONT,REAR & B/L),Foot elevated split squats increase range.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,
11,SPLIT SQUATS,LEVEL 5,KB SPLIT SQUATS (GOBLET,B/L & U/L RACKED),Kettlebell split squats goblet or racked.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,
11,SPLIT SQUATS,LEVEL 6,DB SPLIT SQUATS (U/L,CONTRA,SUITCASE,RACKED),Dumbbell split squats various holds.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,
11,SPLIT SQUATS,LEVEL 7,SAND BAG SPLIT SQUATS (FRONT,U/L,B/L & BACK),Sandbag split squats front or back.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,
11,SPLIT SQUATS,LEVEL 8,BB SPLIT SQUATS (FRONT & BACK / JEFFERSON),"Barbell split squats front, back, or Jefferson.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
11,SPLIT SQUATS,LEVEL 9,OH SPLIT SQUATS (KB,DB,PLATES,SB,BB),Overhead split squats with various loads.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Shoulders",,
11,SPLIT SQUATS,LEVEL 10,LANDMINE SPLIT SQUATS (B/L & U/L),Landmine split squats bilateral or unilateral.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
12,LUNGE,LEVEL 1,TRX/ BAND ASSISTED LUNGES,TRX or band assisted lunges provide support.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
12,LUNGE,LEVEL 2,BW LUNGES (FWD,LAT,REV),"Bodyweight lunges forward, lateral, reverse.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core","Needed for return-to-sport athletes, sports requiring directional change, or to isolate phases of lower limb function",,,
12,LUNGE,LEVEL 3,BW LUNGE SLIDERS (FWD,LAT,REV),Bodyweight lunge sliders add sliding for control.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Stabilizers",,,,
12,LUNGE,LEVEL 4,CURTSY LUNGES (BW/SLIDER/ LOADED),"Curtsy lunges cross leg behind, targeting glutes.","Primary: Quadriceps, Glutes, Adductors; Secondary: Hamstrings, Calves, Core",,,,,,
12,LUNGE,LEVEL 5,LOADED LUNGES (KB,DB,SB,PLATE,BB),Loaded lunges add weight with various tools.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,
12,LUNGE,LEVEL 6,SWITCH LUNGES (BAND ASSISTED,BW,LOADED),Switch lunges alternate legs dynamically.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,
12,LUNGE,LEVEL 7,WALKING LUNGES (BAND RESISTED,BW,LOADED),Walking lunges progress forward.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,
12,LUNGE,LEVEL 8,5 'O' CLOCK LUNGE (BANDED/ BW/ LOADED),5 o'clock lunge at diagonal angle.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
12,LUNGE,LEVEL 9,LANDMINE LUNGES,Landmine lunges use landmine for fixed path.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
12,LUNGE,LEVEL 10,LUNGE INFINITY,Lunge infinity continuous multi-directional.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
13,LANDMINE SQUATS,LEVEL 1,BAND RESISTED LANDMINE SQUATS,Band resisted landmine squats add band for tension.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
13,LANDMINE SQUATS,LEVEL 2,LANDMINE BOX SQUATS,Landmine box squats to controlled depth.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
13,LANDMINE SQUATS,LEVEL 3,LUMBER JACK LANDMINE SQUATS,Lumberjack landmine squats hold bar vertically.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Upper Body",,,,,,
13,LANDMINE SQUATS,LEVEL 4,LANDMINE LOADED B/L SQUATS,Landmine loaded bilateral squats add weight.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
13,LANDMINE SQUATS,LEVEL 5,LANDMINE SPLIT SQUATS,Landmine split squats unilateral.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
13,LANDMINE SQUATS,LEVEL 6,LANDMINE SQUAT THRUSTERS,Landmine squat thrusters add press.,"Primary: Quadriceps, Glutes, Hamstrings, Shoulders; Secondary: Calves, Core",,,,,,
13,LANDMINE SQUATS,LEVEL 7,LANDMINE HACK SQUATS,Landmine hack squats bar behind.,"Primary: Quadriceps; Secondary: Glutes, Hamstrings, Calves",,,,,,
13,LANDMINE SQUATS,LEVEL 8,LANDMINE SPILT STANCE HACK SQUATS,Landmine split stance hack squats staggered.,"Primary: Quadriceps; Secondary: Glutes, Hamstrings, Calves",,,,,,
14,FRONT SQUATS,LEVEL 1,BANDED FRONT SQUATS,Banded front squats add band resistance.,"Primary: Quadriceps, Glutes; Secondary: Hamstrings, Calves, Core",,,,,,
14,FRONT SQUATS,LEVEL 2,LANDMINE FRONT SQUATS (B/L & U/L),Landmine front squats bilateral or unilateral.,"Primary: Quadriceps, Glutes; Secondary: Hamstrings, Calves, Core",,,,,,
14,FRONT SQUATS,LEVEL 3,DOUBLE RACKED FRONT SQUATS (DB,KB,MB),"Double racked front squats with DB, KB, or MB.","Primary: Quadriceps, Glutes; Secondary: Hamstrings, Calves, Core, Upper Back",,,,
14,FRONT SQUATS,LEVEL 4,SINGLE RACKED FRONT SQUATS (DB,KB,MB),Single racked front squats unilateral load.,"Primary: Quadriceps, Glutes; Secondary: Hamstrings, Calves, Core, Obliques",,,,
14,FRONT SQUATS,LEVEL 5,BB BOX FRONT SQUATS,Barbell box front squats to depth.,"Primary: Quadriceps, Glutes; Secondary: Hamstrings, Calves, Core",,,,,,
14,FRONT SQUATS,LEVEL 6,BB FRONT RACKED SQUATS,Barbell front racked squats standard.,"Primary: Quadriceps, Glutes; Secondary: Hamstrings, Calves, Core",,,,,,
14,FRONT SQUATS,LEVEL 7,BB ANDERSON FRONT SQUATS,Barbell Anderson front squats from bottom.,"Primary: Quadriceps, Glutes; Secondary: Hamstrings, Calves, Core",,,,,,
14,FRONT SQUATS,LEVEL 8,BOTTOM HALF FRONT SQUATS,Bottom half front squats focus lower range.,"Primary: Quadriceps, Glutes; Secondary: Hamstrings, Calves, Core",,,,,,
15,BACK SQUATS,LEVEL 1,BANDED BACK SQUATS,Banded back squats add band tension.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
15,BACK SQUATS,LEVEL 2,SANDBAG RACKED BACK SQUATS,Sandbag racked back squats unstable load.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Stabilizers",,,,,,
15,BACK SQUATS,LEVEL 3,HATFIELD SQUATS (BOX & FULL),Hatfield squats assisted with hands on bar.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
15,BACK SQUATS,LEVEL 4,BB BACK RACKED BOX SQUATS,Barbell back racked box squats.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
15,BACK SQUATS,LEVEL 5,BB BACK RACKED SQUATS,Barbell back racked squats standard.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
15,BACK SQUATS,LEVEL 6,BB BACK RACKED ANDERSON SQUATS,Barbell back racked Anderson squats from bottom.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
15,BACK SQUATS,LEVEL 7,BOTTOM HALF BACK SQUATS,Bottom half back squats focus lower range.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core",,,,,,
16,LATERAL SQUATS,LEVEL 1,BAND RESISTED LATERAL SQUATS,Band resisted lateral squats add side resistance.,"Primary: Quadriceps, Glutes, Adductors; Secondary: Hamstrings, Calves, Core",,,,,,
16,LATERAL SQUATS,LEVEL 2,TRX SUPPORTED LATERAL SQUATS,TRX supported lateral squats for balance.,"Primary: Quadriceps, Glutes, Adductors; Secondary: Hamstrings, Calves, Core",,,,,,
16,LATERAL SQUATS,LEVEL 3,BW LATERAL SQUATS (SQUAT,MESSIER & SLIDERS),Bodyweight lateral squats various styles.,"Primary: Quadriceps, Glutes, Adductors; Secondary: Hamstrings, Calves, Core",,,,,
16,LATERAL SQUATS,LEVEL 4,LOADED LATERAL SQUATS (MB,SB,PLATE),"Loaded lateral squats with MB, SB, or plate.","Primary: Quadriceps, Glutes, Adductors; Secondary: Hamstrings, Calves, Core",,,,
16,LATERAL SQUATS,LEVEL 5,KB & DB LATERAL SQUATS (RACKED - B/L & U/L),KB or DB lateral squats racked.,"Primary: Quadriceps, Glutes, Adductors; Secondary: Hamstrings, Calves, Core",,,,,,
16,LATERAL SQUATS,LEVEL 6,KB & DB LATERAL SQUATS (SUITCASE,CONTRA & IPSI),KB or DB lateral squats suitcase hold.,"Primary: Quadriceps, Glutes, Adductors; Secondary: Hamstrings, Calves, Core, Grip",,,,,
16,LATERAL SQUATS,LEVEL 7,LANDMINE LATERAL SQUATS (SQUATS & MESSIER),Landmine lateral squats fixed path.,"Primary: Quadriceps, Glutes, Adductors; Secondary: Hamstrings, Calves, Core",,,,,,
16,LATERAL SQUATS,LEVEL 8,ZERCHER HOLD LATERAL SQUATS (PLATE,BB),Zercher hold lateral squats with plate or BB.,"Primary: Quadriceps, Glutes, Adductors, Core; Secondary: Hamstrings, Calves",,,,,
17,OH SQUATS,LEVEL 1,BANDED OH SQUATS,Banded overhead squats add band.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Shoulders",,,,,,
17,OH SQUATS,LEVEL 2,WALL SUPPORTED OH SQUATS,Wall supported overhead squats for form.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Shoulders",,,,,,
17,OH SQUATS,LEVEL 3,BW OH SQUATS,Bodyweight overhead squats arms up.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Shoulders",,,,,,
17,OH SQUATS,LEVEL 4,LOADED OH SQUATS (MB,SB,PLATE),"Loaded overhead squats with MB, SB, plate.","Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Shoulders",,,,
17,OH SQUATS,LEVEL 5,KB OH SQUATS (B/L & U/L),Kettlebell overhead squats bilateral or unilateral.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Shoulders",,,,,,
17,OH SQUATS,LEVEL 6,DB OH SQUATS (B/L & U/L),Dumbbell overhead squats.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Shoulders",,,,,,
17,OH SQUATS,LEVEL 7,BB OH SQUATS,Barbell overhead squats.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Shoulders",,,,,,
17,OH SQUATS,LEVEL 8,ANDERSON BB OH SQUATS,Anderson barbell overhead squats from bottom.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Shoulders",,,,,,
18,EARTHQUAKE TRAINING,LEVEL 1,OFFSET RACKED BOX SQUATS,Offset racked box squats uneven load on box.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Stabilizers",,,,,,
18,EARTHQUAKE TRAINING,LEVEL 2,OFFSET RACKED DEEP SQUATS,Offset racked deep squats uneven load.,"Primary: Quadriceps, Glutes, Hamstrings; Secondary: Calves, Core, Stabilizers",,,,,,
